REF_TRAIN_BO_FullProj,BO
REF_TRAIN_BO_WebI,BO
REF_WPB,P1
SaKP,CA
SaKP_CO_EC,CO
SaKP_FI_FIN_FS,FI
SaKP_LO_LE,LO
SaKP_MISC,CA
SaKP_MM,MM
SaKP_PP_QM,PP
SaKP_SD,SD
SAP_Jam,XX
SAP_Store,XX
SFSF_BIZX,1H
SFSF_EC,1H
SFSF_iCRM,1H
SFSF_LMS,P1
SFSF_RPosting,1H
Sourcing_20-S4_0.6,AR
Sourcing_20-S4-SP_12.1,AR
Sourcing_20-S4-SP_5.1,AR
Subtitling_Corporate,XX
TRAIN_B1,B1
TRAIN_B2,B2
TRAIN_BC,BC
TRAIN_BO,BO
TRAIN_BW,BW
TRAIN_CO,CO
TRAIN_EP,EP
TRAIN_FI,FI
TRAIN_KEU,XX
TRAIN_LO,LO
TRAIN_MM,MM
TRAIN_MOB,XX
TRAIN_NonStandard,XX
TRAIN_OV,OV
TRAIN_PA,PA
TRAIN_PL,PL
TRAIN_PM,PM
TRAIN_PP,PP
TRAIN_PS,PS
TRAIN_PU,PU
TRAIN_QM,QM
TRAIN_SZ,SZ
TRAIN_TR,TR
TRAIN_UT,UT
TRAIN_ZZ,ZZ
TS_A_1A,1A
TS_A_1B,1B
TS_A_1C,1C
TS_A_1D,1D
TS_A_1F,1F
TS_A_1H,1H
TS_A_1I,1I
TS_A_1M,1M
TS_A_1P,1P
TS_A_1Q,1Q
TS_A_1S,1S
TS_A_1T,1T
TS_A_1X,1X
TS_A_AA,AA
TS_A_AC,AC
TS_A_AD,AD
TS_A_AE,AE
TS_A_AF,AF
TS_A_AI,AI
TS_A_AL,AL
TS_A_AN,AN
TS_A_AP,AP
TS_A_AR,AR
TS_A_AU,AU
TS_A_B1,B1
TS_A_B2,B2
TS_A_B3,B3
TS_A_BA,BA
TS_A_BB,BB
TS_A_BC,BC
TS_A_BI,BI
TS_A_BJ,BJ
TS_A_BO,BO
TS_A_BV,BV
TS_A_BW,BW
TS_A_CA,CA
TS_A_CC,CC
TS_A_CF,CF
TS_A_CM,CM
TS_A_CO,CO
TS_A_CP,CP
TS_A_CR,CR
TS_A_CS,CS
TS_A_CT,CT
TS_A_CY,CY
TS_A_DF,DF
TS_A_DY,DY
TS_A_E1,E1
TS_A_EC,EC
TS_A_EH,EH
TS_A_EM,EM
TS_A_EN,EN
TS_A_EP,EP
TS_A_ES,ES
TS_A_FB,FB
TS_A_FC,FC
TS_A_FF,FF
TS_A_FI,FI
TS_A_FN,FN
TS_A_FO,FO
TS_A_FP,FP
TS_A_FS,FS
TS_A_GD,GD
TS_A_GR,GR
TS_A_HC,HC
TS_A_HT,HT
TS_A_IA,IA
TS_A_IC,IC
TS_A_II,II
TS_A_IM,IM
TS_A_IN,IN
TS_A_IQ,IN
TS_A_IR,IR
TS_A_IS,IS
TS_A_JV,JV
TS_A_KM,KM
TS_A_LC,LC
TS_A_LE,LE
TS_A_LL,LL
TS_A_LO,LO
TS_A_MD,MD
TS_A_ME,ME
TS_A_MM,MM
TS_A_MP,MP
TS_A_MX,MX
TS_A_OI,OI
TS_A_P1,P1
TS_A_PA,PA
TS_A_PC,PC
TS_A_PE,PE
TS_A_PL,PL
TS_A_PM,PM
TS_A_PP,PP
TS_A_PR,PR
TS_A_PS,PS
TS_A_PT,PT
TS_A_PU,PU
TS_A_PY,PY
TS_A_QM,QM
TS_A_RE,RE
TS_A_RI,RI
TS_A_RM,RM
TS_A_SC,SC
TS_A_SD,SD
TS_A_SE,SE
TS_A_SK,SK
TS_A_SM,SM
TS_A_SV,SV
TS_A_SY,SY
TS_A_SZ,SZ
TS_A_TE,TE
TS_A_TM,TM
TS_A_TR,TR
TS_A_UT,UT
TS_A_WP,WP
TS_A_XA,XA
TS_A_XX,XX
TS_A_ZZ,ZZ
TS_C_1A,1A
TS_C_1I,1I
TS_C_1L,1I
TS_C_1Q,1Q
TS_C_AC,AC
TS_C_AD,AD
TS_C_AE,AE
TS_C_AF,AF
TS_C_AI,AI
TS_C_AL,AL
TS_C_AN,AN
TS_C_AP,AP
TS_C_AU,AU
TS_C_B1,B1
TS_C_B2,B2
TS_C_B3,B3
TS_C_BA,BA
TS_C_BB,BB
TS_C_BC,BC
TS_C_BI,BI
TS_C_BJ,BJ
TS_C_BO,BO
TS_C_BP,BP
TS_C_BV,BV
TS_C_BW,BW
TS_C_CA,CA
TS_C_CF,CF
TS_C_CM,CM
TS_C_CO,CO
TS_C_CP,CP
TS_C_CR,CR
TS_C_CS,CS
TS_C_CY,CY
TS_C_DF,DF
TS_C_DW,DW
TS_C_E1,E1
TS_C_EC,EC
TS_C_EH,EH
TS_C_EI,EH
TS_C_EM,EM
TS_C_EP,EP
TS_C_FB,FB
TS_C_FC,FC
TS_C_FI,FI
TS_C_FN,FN
TS_C_FP,FP
TS_C_FS,FS
TS_C_GR,GR
TS_C_HC,HC
TS_C_HT,HT
TS_C_IC,IC
TS_C_II,II
TS_C_IM,IM
TS_C_IN,IN
TS_C_IO,IO
TS_C_IR,IR
TS_C_IS,IS
TS_C_JV,JV
TS_C_KM,KM
TS_C_LE,LE
TS_C_LL,LL
TS_C_LO,LO
TS_C_MD,MD
TS_C_ME,ME
TS_C_MM,MM
TS_C_MP,MP
TS_C_MX,MX
TS_C_OI,OI
TS_C_P1,P1
TS_C_PA,PA
TS_C_PC,PC
TS_C_PE,PE
TS_C_PL,PL
